tier,s1,s2,text,text_full,match,group_num,occ_num
underlying_full_phrase,177.1,183.6,nndmgmnnsns,nndmgmnnsns,no match,,
underlying_sancara,179.2,183.6,gmnnsns,gmnnsns,no match,,
underlying_sancara,183.6,186.1,nsggm,nsggm,no match,,
underlying_full_phrase,183.6,189.8,nsggmgmgrggrs,nsggmgmgrggrs,no match,,
underlying_sancara,189.8,192.2,nnsgrs,nnsgrs,no match,,
underlying_sancara,205.3,207.4,nsggm,nsggm,no match,,
underlying_full_phrase,207.4,213.6,pdpmgmpmgrgm,pdpmgmpmgrgm,no match,,
underlying_full_phrase,213.8,220.0,ndmgmmgrrggrs,ndmgmmgrrggrs,no match,,
underlying_sancara,238.7,241.2,nnsgrs,nnsgrs,no match,,
underlying_full_phrase,238.7,243.4,nnsgrsnns,nnsgrsnns,no match,,
underlying_full_phrase,243.4,248.2,sndmmgrs,sndmmgrs,no match,,
underlying_full_phrase,248.3,254.8,ndmgrsnsggm,ndmgrsnsggm,no match,,
underlying_sancara,254.8,256.9,pmgrs,pmgrs,no match,,
underlying_full_phrase,257.0,261.2,nsgrssnnpnnsnsggm,nsgrssnnpnnsnsggm,no match,,
underlying_full_phrase,261.2,266.2,gmpdpmgmppmmgrpmgrsnsggm,gmpdpmgmppmmgrpmgrsnsggm,no match,,
underlying_full_phrase,266.2,269.0,pdpmgmppmgrgm,pdpmgmppmgrgm,no match,,
underlying_full_phrase,269.0,271.4,gmnndddndm,gmnndddndm,no match,,
underlying_full_phrase,271.4,274.3,gmgrgrnsnsgrgm,gmgrgrnsnsgrgm,no match,,
underlying_sancara,274.3,277.3,pdmpgmgrgs,pdmpgmgrgs,no match,,
underlying_full_phrase,288.7,291.6,nsggmgmgrggrs,nsggmgmgrggrs,no match,,
underlying_full_phrase,300.0,303.0,pdpmgmpmgrgm,pdpmgmpmgrgm,no match,,
underlying_full_phrase,303.0,306.2,ndmgmmgrrggrs,ndmgmmgrrggrs,no match,,
underlying_full_phrase,315.0,317.1,nnsgrsnns,nnsgrsnns,no match,,
underlying_full_phrase,317.1,319.5,sndmmgrs,sndmmgrs,no match,,
underlying_full_phrase,319.5,322.9,ndmgrsnsggm,ndmgrsnsggm,no match,,
underlying_full_phrase,345.7,348.3,sndnndm,sndnndm,match,19.0,3.0
underlying_full_phrase,348.4,352.6,mgmdpmgrgmpmgrggrsn,mgmdpmgrgmpmgrggrsn,no match,,
underlying_full_phrase,352.6,355.5,sgrgmgmdpmgm,sgrgmmdpmgm,no match,,
underlying_full_phrase,357.3,359.7,sndnndm,sndnndm,match,19.0,4.0
underlying_full_phrase,359.7,363.8,mgmdpmgrgmpmgrggrsn,mgmdpmgrgmpmgrggrs,match,2.0,4.0
underlying_full_phrase,363.8,366.8,sgrgmgmdpmgm,sgrgmgmdpmgm,match,9.0,0.0
underlying_sancara,366.8,370.2,mgrgrs,mgrgrs,no match,,
underlying_full_phrase,380.3,382.7,sndnndm,sndnndm,match,19.0,2.0
underlying_full_phrase,382.7,386.8,mgmdpmgrgmpmgrggrsn,mgmdpmgrgmpmgrggrs,no match,,
underlying_full_phrase,386.8,389.7,sgrgmgmdpmgm,sgrgmgmdpmgm,match,9.0,2.0
underlying_full_phrase,402.8,405.1,sndnndm,sndnndm,no match,,
underlying_full_phrase,409.2,412.5,sgrgmgmdpmgm,sgrgmmdpmgm,no match,,
underlying_full_phrase,425.4,427.8,sndnndm,sndnndm,no match,,
underlying_full_phrase,427.8,432.0,mgmdpmgrgmpmgrggrsn,mgmdpmgrgmpmgrggrs,no match,,
underlying_full_phrase,432.0,435.0,sgrgmgmdpmgm,sgrgmgmdpmgm,no match,,
underlying_full_phrase,448.5,450.9,sndnndm,sndnndm,match,19.0,0.0
underlying_full_phrase,451.0,455.0,mgmdpmgrgmpmgrggrsn,mgmdpmgrgmpmgrggrsn,match,2.0,0.0
underlying_full_phrase,455.0,458.2,sgrgmgmdpmgm,sgrgmmdpmgm,no match,,
underlying_full_phrase,483.0,485.3,sndnndm,sndnndm,match,19.0,1.0
underlying_full_phrase,485.4,489.4,mgmdpmgrgmpmgrggrsn,mgmdpmgrgmpmgrggrs,no match,,
underlying_full_phrase,489.4,492.4,sgrgmgmdpmgm,sgrgmgmdpmgm,match,9.0,1.0
underlying_sancara,494.6,496.8,sndn,sndn,no match,,
