tier,s1,s2,text,text_full,match,group_num,occ_num
underlying_sancara,40.4,43.6,nsnsgrgm,,match,3.0,4.0
underlying_sancara,43.7,48.1,pmgrs,pmgrs,match,11.0,0.0
underlying_sancara,48.4,51.6,nsgrssnn,nsgrssnn,no match,,
underlying_full_phrase,48.4,56.3,nsgrssnnpnnsnsggm,nsgrssnnpnnsnsggm,no match,,
underlying_sancara,51.6,54.4,pnnsn,pnnsn,no match,,
underlying_sancara,54.4,56.4,sggm,sggm,match,12.0,1.0
underlying_sancara,56.4,59.0,gmpdpm,gmpdpm,no match,,
underlying_full_phrase,56.4,66.3,gmpdpmgmppmmgrpmgrsnsggm,gmpdpmgmppmmgrpmgrsnsggm,no match,,
underlying_sancara,59.0,62.0,gmppmmgr,gmppmmgr,no match,,
underlying_sancara,62.1,64.7,pmgrsn,pmgrsn,match,5.0,3.0
underlying_sancara,66.4,71.1,pmgrs,pmgrmggrs,no match,,
underlying_sancara,71.1,74.7,nsgrssnn,nsgrssnn,no match,,
underlying_full_phrase,71.1,79.5,nsgrssnnpnnsnsggm,nsgrssnnpnnsnsggm,no match,,
underlying_sancara,74.7,77.2,pnnsn,pnnsn,no match,,
underlying_sancara,77.3,79.5,sggm,sggm ,no match,,
underlying_sancara,79.5,82.2,gmpdpm,gmpdpm,no match,,
underlying_full_phrase,79.5,89.6,gmpdpmgmppmmgrpmgrsnsggm,gmpdpmgmppmmgrpmgrsnsggm,no match,,
underlying_sancara,82.2,85.3,gmppmmgr,gmppmmgr,no match,,
underlying_sancara,85.5,88.1,pmgrsn,pmgrsn,match,5.0,2.0
underlying_sancara,89.7,91.7,pdpm,pdpm,no match,,
underlying_full_phrase,89.7,95.5,pdpmgmppmgrgm,pdpmgmppmgrgm,match,7.0,2.0
underlying_sancara,91.8,95.5,gmppmgrgm,gmppmgrgm,match,13.0,0.0
underlying_sancara,95.5,98.1,gmnndd,gmnndd,no match,,
underlying_full_phrase,95.5,100.5,gmnndddndm,gmnndddndm,no match,,
underlying_sancara,98.1,100.5,dndm,dndm,no match,,
underlying_sancara,100.5,104.3,gmgrgrnsn,gmgrgrnsn,no match,,
underlying_full_phrase,100.5,106.3,gmgrgrnsnsgrgm,gmgrgrnsnsgrgm,match,4.0,4.0
underlying_sancara,104.3,106.3,sgrgm,sgrgm,no match,,
underlying_sancara,106.5,112.9,pdmpgmgrgs,pdmpgmgrgs,no match,,
underlying_sancara,113.1,115.1,pdpm,pdpm,no match,,
underlying_full_phrase,113.1,119.1,pdpmgmppmgrgm,pdpmgmppmgrgm,match,13.0,1.0
underlying_sancara,115.1,119.1,gmppmgrgm,gmppmgrgm,match,13.0,1.0
underlying_sancara,119.1,121.6,gmnndd,gmnndd,no match,,
underlying_full_phrase,119.1,123.9,gmnndddndm,gmnndddndm,no match,,
underlying_sancara,121.6,123.9,dndm,dndm,no match,,
underlying_sancara,124.0,127.9,gmgrgrnsn,gmgrgrnsn,match,4.0,2.0
underlying_full_phrase,124.0,129.9,gmgrgrnsnsgrgm,gmgrgrnsnsgrgm,match,4.0,2.0
underlying_sancara,127.9,129.9,sgrgm,sgrgm,no match,,
underlying_sancara,130.0,136.5,pdmpgmgrgs,pdmpgmgrgs,no match,,
underlying_sancara,136.6,138.7,sndn,sndn,no match,,
underlying_full_phrase,136.6,145.1,sndnpdnndmgmdpmgrgm,sndnpdnndmgmdpmgrgm,match,14.0,0.0
underlying_sancara,138.7,141.3,pdnndm,pdnndm,match,17.0,1.0
underlying_sancara,141.3,145.0,gmdpmgrgm,gmdpmgrgm,match,16.0,0.0
underlying_sancara,145.1,147.6,dpmgr,dpmgr,no match,,
underlying_full_phrase,145.1,153.5,dpmgrpmgrsnsnsgrgm,dpmgrpmgrsnsnsgrgm,match,4.0,0.0
underlying_sancara,147.6,150.2,pmgrs,pmgrs,no match,,
underlying_sancara,150.2,153.4,nsnsgrgm,nsnsgrgm,match,3.0,1.0
underlying_sancara,153.5,155.6,nndm,nndm,no match,,
underlying_full_phrase,153.5,160.4,nndmgmnnsns,nndmgmnnsns,no match,,
underlying_sancara,155.7,160.4,gmnnsns,gmnnsns,no match,,
underlying_sancara,160.4,162.4,sndn,sndn,no match,,
underlying_full_phrase,160.4,168.9,sndnpdnndmgmdpmgrgm,sndnpdnndmgmdpmgrgm,no match,,
underlying_sancara,162.4,164.7,pdnndm,pdnndm,match,17.0,0.0
underlying_sancara,164.8,168.8,gmdpmgrgm,gmdpmgrgm,match,18.0,1.0
underlying_sancara,168.9,171.1,dpmgr,dpmgr,match,18.0,0.0
underlying_full_phrase,168.9,177.0,dpmgrpmgrsnsnsgrgm,dpmgrpmgrsnsnsgrgm,match,4.0,3.0
underlying_sancara,171.1,173.8,pmgrs,pmgrs,no match,,
underlying_sancara,173.8,177.0,nsnsgrgm,nsnsgrgm,match,3.0,3.0
underlying_sancara,177.1,179.2,nndm,nndm,no match,,
